downloads,distro_name,distro_version,distro_id
4142728,Debian GNU/Linux,9,stretch
3485270,Ubuntu,16.04,Xenial Xerus
3146568,,,
3006325,Ubuntu,16.04,xenial
2796493,Amazon Linux AMI,2018.03,n/a
928401,Ubuntu,18.04,Bionic Beaver
718677,Ubuntu,14.04,Trusty Tahr
631047,Debian GNU/Linux,10,buster
583995,Ubuntu,18.04,bionic
512926,Amazon Linux AMI,2017.09,n/a
500226,Amazon Linux,2,
426101,CentOS Linux,7,Core
352574,Debian GNU/Linux,8,jessie
309623,Amazon Linux AMI,2016.03,n/a
243489,Amazon Linux AMI,2018.03,
214027,macOS,10.14.5,
85573,macOS,10.13.6,
57191,Amazon Linux AMI,2017.09,
53978,macOS,10.14.6,
52019,Amazon Linux AMI,2016.09,n/a
51089,Red Hat Enterprise Linux Server,7.6,Maipo
36602,macOS,10.13.3,
35658,Amazon Linux AMI,2017.03,n/a
31852,Ubuntu,19.04,Disco Dingo
27750,macOS,10.12.6,
27550,macOS,10.14.4,
24293,Red Hat Enterprise Linux Server,7.4,Maipo
22771,CentOS,6.10,Final
22553,Fedora,28,Twenty Eight
21697,Amazon Linux AMI,2017.03,
19457,macOS,10.14.3,
13365,Arch Linux,,
12849,CentOS Linux,7.6.1810,Core
12793,Ubuntu,18.10,cosmic
12446,CentOS,5.11,Final
12318,Ubuntu,12.04,Precise Pangolin
11298,macOS,10.14,
11234,Ubuntu,18.10,Cosmic Cuttlefish
11105,Ubuntu,19.04,disco
11003,Manjaro Linux,18.0.4,Illyria
10620,Amazon Linux AMI,2016.03,
9988,Linux Mint,19.1,Tessa
9501,Red Hat Enterprise Linux Server,7.5,Maipo
9242,Amazon Linux AMI,2015.09,
9077,Red Hat Enterprise Linux Server,7.0,Maipo
7992,macOS,10.14.2,
7635,Alpine Linux,3.7.3,
7289,Alpine Linux,3.10.0,
7022,Ubuntu,17.10,artful
6918,Ubuntu,14.04,trusty
6857,Ubuntu,16.10,Yakkety Yak
6754,Alpine Linux,3.6.2,
6538,debian,9.9,
6454,Debian GNU/Linux,,
5790,macOS,10.11.6,
5743,Red Hat Enterprise Linux Server,6.10,Santiago
5226,Fedora,30,Workstation Edition
4938,macOS,10.15,
4630,macOS,10.13.4,
4627,Alpine Linux,3.10.1,
4576,macOS,10.14.1,
4117,CentOS,6.9,Final
3654,Fedora,30,
3647,debian,stretch/sid,
3644,Arch Linux,rolling,n/a
3602,Ubuntu,17.10,Artful Aardvark
3546,Red Hat Enterprise Linux,8.0,Ootpa
3521,debian,jessie/sid,
3346,Debian GNU/Linux,7,wheezy
3177,Linux Mint,19.1,tessa
2814,Oracle Linux Server,7.6,
2678,Linux Mint,19,Tara
2603,Pop!_OS,19.04,disco
2594,CentOS Linux,7.5.1804,Core
2568,Amazon Linux,2,Karoo
2555,Kali GNU/Linux,2019.2,n/a
2285,openSUSE Leap,15.0,
2167,CentOS,6.8,Final
2139,Fedora,27,Twenty Seven
2111,elementary OS,5.0,juno
1899,Gentoo,2019050701,
1880,Fedora,29,Workstation Edition
1825,Scientific Linux,7.6,Nitrogen
1804,Amazon Linux AMI,2016.09,
1695,macOS,10.13.5,
1679,Fedora,20,Heisenbug
1507,Alpine Linux,3.8.4,
1486,Raspbian GNU/Linux,10,buster
1444,debian,8.4,
1433,CentOS Linux,7.4.1708,Core
1351,Red Hat Enterprise Linux Server,7.7,Maipo
1339,Red Hat Enterprise Linux Workstation,7.6,Maipo
1323,Fedora,30,Container Image
1278,Fedora,29,
1254,CentOS Linux,7.3.1611,Core
1253,macOS,10.10.5,
1204,KDE neon,18.04,bionic
1196,Red Hat Enterprise Linux Server,7.3,Maipo
1184,Raspbian GNU/Linux,9,stretch
1166,Fedora,30,Thirty
1164,Linux Mint,18.3,Sylvia
1147,Pop!_OS,18.04,bionic
1144,Fedora,29,Twenty Nine
1114,Alpine Linux,3.8.2,
1106,Linux Mint,18.3,sylvia
1099,Kali GNU/Linux,2019.3,kali-rolling
1086,CentOS,6.6,Final
1084,Amazon Linux AMI,2015.09,n/a
1066,Fedora,29,Container Image
1018,RedHatEnterpriseServer,6.10,Santiago
998,Amazon Linux,2.0,
978,Linux Mint,19,tara
974,Alibaba Group Enterprise Linux Server,7.2,Paladin
970,macOS,10.13.2,
946,macOS,10.13.1,
935,Alpine Linux,3.9.4,
922,CentOS Linux,7.2.1511,Core
803,Antergos Linux,,
781,Ubuntu,19.10,Eoan Ermine
775,CentOS,6.5,Final
751,Alpine Linux,3.9.2,
742,Fedora,28,
734,openSUSE Leap,15.1,n/a
720,Alpine Linux,3.9.3,
716,Fedora,25,Twenty Five
658,Gentoo,2019062001,
651,Deepin,15.11,stable
649,CentOS,6.7,Final
638,Gentoo,2019071201,
633,Red Hat Enterprise Linux Server,5.3,Tikanga
622,Virtuozzo,7,n/a
606,Alpine Linux,3.9.0,
604,Red Hat Enterprise Linux Workstation,7.5,Maipo
598,Linux Mint,19.2,Tina
597,Amazon Linux AMI,2014.09,
591,RedHatEnterpriseWorkstation,6.6,Santiago
591,Ubuntu,10.04,lucid
590,Fedora,28,Workstation Edition
578,openSUSE Leap,15.0,n/a
